Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
9,Sun,2020-11-08,16:15 (07:15),Real Sociedad,2.6,2–0,0.8,Granada,0,Estadio Municipal de Anoeta,Carlos del Cerro
9,Sun,2020-11-08,18:30 (09:30),Levante,1.8,1–1,0.8,Alavés,0,Estadio Ciudad de Valencia,Isidro Díaz de Mera
9,Sun,2020-11-08,18:30 (09:30),Valladolid,2.3,2–1,2.1,Athletic Club,0,Estadio Municipal José Zorrilla,César Soto
9,Sun,2020-11-08,21:00 (12:00),Valencia,2.5,4–1,1.5,Real Madrid,0,Estadio de Mestalla,Jesús Gil
10,Fri,2020-11-20,21:00 (12:00),Osasuna,1.2,1–1,1.0,Huesca,0,Estadio El Sadar,Valentín Pizarro
10,Sat,2020-11-21,14:00 (05:00),Levante,0.7,1–1,0.7,Elche,0,Estadio Ciudad de Valencia,Jorge Figueroa
10,Sat,2020-11-21,16:15 (07:15),Villarreal,2.0,1–1,0.6,Real Madrid,0,Estadio de la Cerámica,Alejandro Hernández
10,Sat,2020-11-21,18:30 (09:30),Sevilla,1.6,4–2,1.6,Celta Vigo,0,Estadio Ramón Sánchez Pizjuán,César Soto
10,Sat,2020-11-21,21:00 (12:00),Atlético Madrid,0.9,1–0,1.2,Barcelona,0,Estadio Wanda Metropolitano,José Luis Munuera
10,Sun,2020-11-22,14:00 (05:00),Eibar,1.8,0–0,0.8,Getafe,0,Estadio Municipal de Ipurúa,Pablo González
10,Sun,2020-11-22,16:15 (07:15),Cádiz,0.1,0–1,1.6,Real Sociedad,0,Estadio Nuevo Mirandilla,Javier Estrada
10,Sun,2020-11-22,18:30 (09:30),Granada,1.5,1–3,1.4,Valladolid,0,Estadio Nuevo Los Cármenes,David Medié
10,Sun,2020-11-22,21:00 (12:00),Alavés,1.6,2–2,2.7,Valencia,0,Estadio de Mendizorroza,Santiago Jaime
10,Mon,2020-11-23,21:00 (12:00),Athletic Club,2.5,4–0,0.4,Betis,0,San Mamés,Alberola Rojas
11,Fri,2020-11-27,21:00 (12:00),Valladolid,1.3,1–1,1.3,Levante,0,Estadio Municipal José Zorrilla,Valentín Pizarro
11,Sat,2020-11-28,14:00 (05:00),Elche,0.2,1–1,0.6,Cádiz,0,Estadio Manuel Martínez Valero,Carlos del Cerro
11,Sat,2020-11-28,16:15 (07:15),Valencia,0.1,0–1,0.8,Atlético Madrid,0,Estadio de Mestalla,Ricardo de Burgos
11,Sat,2020-11-28,18:30 (09:30),Huesca,0.2,0–1,1.1,Sevilla,0,Estadio El Alcoraz,Guillermo Cuadra
11,Sat,2020-11-28,21:00 (12:00),Real Madrid,2.3,1–2,2.3,Alavés,0,Estadio Alfredo Di Stéfano,Adrián Cordero
11,Sun,2020-11-29,14:00 (05:00),Barcelona,3.7,4–0,1.1,Osasuna,0,Camp Nou,Antonio Matéu Lahoz
11,Sun,2020-11-29,16:15 (07:15),Getafe,0.7,1–1,0.2,Athletic Club,0,Coliseum Alfonso Pérez,Mario Melero
11,Sun,2020-11-29,18:30 (09:30),Celta Vigo,3.5,3–1,1.1,Granada,0,Estadio de Balaídos,Isidro Díaz de Mera
11,Sun,2020-11-29,21:00 (12:00),Real Sociedad,1.9,1–1,1.3,Villarreal,0,Estadio Municipal de Anoeta,Jesús Gil
11,Mon,2020-11-30,21:00 (12:00),Betis,0.6,0–2,2.6,Eibar,0,Estadio Benito Villamarín,Juan Martínez
12,Fri,2020-12-04,21:00 (12:00),Athletic Club,0.5,0–2,1.0,Celta Vigo,0,San Mamés,Jorge Figueroa
12,Sat,2020-12-05,14:00 (05:00),Levante,2.3,3–0,0.6,Getafe,0,Estadio Ciudad de Valencia,David Medié
12,Sat,2020-12-05,16:15 (07:15),Sevilla,0.4,0–1,1.6,Real Madrid,0,Estadio Ramón Sánchez Pizjuán,José Sánchez
12,Sat,2020-12-05,18:30 (09:30),Atlético Madrid,1.1,2–0,0.6,Valladolid,0,Estadio Wanda Metropolitano,Pablo González
12,Sat,2020-12-05,21:00 (12:00),Cádiz,2.3,2–1,2.0,Barcelona,0,Estadio Nuevo Mirandilla,César Soto
12,Sun,2020-12-06,14:00 (05:00),Granada,1.6,3–3,1.5,Huesca,0,Estadio Nuevo Los Cármenes,Alberola Rojas
12,Sun,2020-12-06,16:15 (07:15),Osasuna,0.7,0–2,1.5,Betis,0,Estadio El Sadar,Alejandro Hernández
12,Sun,2020-12-06,18:30 (09:30),Villarreal,0.7,0–0,0.1,Elche,0,Estadio de la Cerámica,Santiago Jaime
12,Sun,2020-12-06,21:00 (12:00),Alavés,0.3,0–0,1.3,Real Sociedad,0,Estadio de Mendizorroza,José Luis Munuera
12,Mon,2020-12-07,21:00 (12:00),Eibar,1.3,0–0,0.8,Valencia,0,Estadio Municipal de Ipurúa,Javier Estrada
13,Fri,2020-12-11,21:00 (12:00),Valladolid,1.8,3–2,1.6,Osasuna,0,Estadio Municipal José Zorrilla,Adrián Cordero
13,Sat,2020-12-12,14:00 (05:00),Valencia,1.6,2–2,1.7,Athletic Club,0,Estadio de Mestalla,Carlos del Cerro
13,Sat,2020-12-12,16:15 (07:15),Getafe,0.4,0–1,0.5,Sevilla,0,Coliseum Alfonso Pérez,Juan Martínez
13,Sat,2020-12-12,18:30 (09:30),Huesca,0.5,1–0,0.2,Alavés,0,Estadio El Alcoraz,Mario Melero
13,Sat,2020-12-12,21:00 (12:00),Real Madrid,0.6,2–0,0.4,Atlético Madrid,0,Estadio Alfredo Di Stéfano,Antonio Matéu Lahoz
13,Sun,2020-12-13,14:00 (05:00),Real Sociedad,1.2,1–1,1.2,Eibar,0,Estadio Municipal de Anoeta,Isidro Díaz de Mera
13,Sun,2020-12-13,16:15 (07:15),Betis,0.5,1–1,1.2,Villarreal,0,Estadio Benito Villamarín,Valentín Pizarro
13,Sun,2020-12-13,18:30 (09:30),Elche,0.5,0–1,1.6,Granada,0,Estadio Manuel Martínez Valero,Pablo González
13,Sun,2020-12-13,21:00 (12:00),Barcelona,2.2,1–0,0.9,Levante,0,Camp Nou,Ricardo de Burgos
13,Mon,2020-12-14,21:00 (12:00),Celta Vigo,1.7,4–0,0.8,Cádiz,0,Estadio de Balaídos,Guillermo Cuadra
19,Tue,2020-12-15,22:00 (13:00),Real Madrid,2.1,3–1,1.2,Athletic Club,0,Estadio Alfredo Di Stéfano,Jesús Gil
19,Wed,2020-12-16,21:00 (12:00),Barcelona,2.4,2–1,2.2,Real Sociedad,0,Camp Nou,José Sánchez
14,Fri,2020-12-18,21:00 (12:00),Athletic Club,1.5,2–0,0.2,Huesca,0,San Mamés,Valentín Pizarro
14,Sat,2020-12-19,14:00 (05:00),Atlético Madrid,1.9,3–1,0.7,Elche,0,Estadio Wanda Metropolitano,Javier Estrada
14,Sat,2020-12-19,16:15 (07:15),Barcelona,2.4,2–2,1.8,Valencia,0,Camp Nou,Alejandro Hernández
14,Sat,2020-12-19,18:30 (09:30),Levante,1.3,2–1,1.7,Real Sociedad,0,Estadio Ciudad de Valencia,César Soto
14,Sat,2020-12-19,18:30 (09:30),Osasuna,1.0,1–3,2.1,Villarreal,0,Estadio El Sadar,Jorge Figueroa
14,Sat,2020-12-19,21:00 (12:00),Sevilla,1.8,1–1,0.5,Valladolid,0,Estadio Ramón Sánchez Pizjuán,Jesús Gil
14,Sun,2020-12-20,14:00 (05:00),Celta Vigo,1.6,2–0,0.6,Alavés,0,Estadio de Balaídos,Alberola Rojas
14,Sun,2020-12-20,16:15 (07:15),Granada,1.2,2–0,0.6,Betis,0,Estadio Nuevo Los Cármenes,José Sánchez
14,Sun,2020-12-20,18:30 (09:30),Cádiz,0.3,0–2,1.2,Getafe,0,Estadio Nuevo Mirandilla,Santiago Jaime
14,Sun,2020-12-20,21:00 (12:00),Eibar,0.7,1–3,2.2,Real Madrid,0,Estadio Municipal de Ipurúa,José Luis Munuera
15,Tue,2020-12-22,17:30 (08:30),Elche,1.5,2–2,2.4,Osasuna,0,Estadio Manuel Martínez Valero,Ricardo de Burgos
15,Tue,2020-12-22,17:30 (08:30),Valencia,0.9,0–1,1.8,Sevilla,0,Estadio de Mestalla,Valentín Pizarro
15,Tue,2020-12-22,19:45 (10:45),Real Sociedad,0.2,0–2,0.5,Atlético Madrid,0,Estadio Municipal de Anoeta,Guillermo Cuadra
15,Tue,2020-12-22,19:45 (10:45),Huesca,1.6,1–1,0.6,Levante,0,Estadio El Alcoraz,Isidro Díaz de Mera
15,Tue,2020-12-22,22:00 (13:00),Valladolid,0.7,0–3,3.6,Barcelona,0,Estadio Municipal José Zorrilla,Mario Melero
15,Tue,2020-12-22,22:00 (13:00),Villarreal,1.2,1–1,0.8,Athletic Club,0,Estadio de la Cerámica,David Medié
