Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
417,Daniel Parejo\7460ca0d,es ESP,MF,Villarreal,31,1989,34.6,4,0,0,40,68,0,43,34,56,0,0,0,323,25,24,51.0
418,Thomas Partey\529f49ab,gh GHA,MF,Atlético Madrid,27,1993,2.2,1,0,0,5,1,0,0,2,7,0,0,0,26,3,1,75.0
419,Gabriel Paulista\b7ca5c51,br BRA,DF,Valencia,29,1990,30.2,6,0,0,19,25,0,0,53,11,1,1,0,254,67,41,62.0
420,Alfonso Pedraza\63f04c6c,es ESP,DF,Villarreal,24,1996,23.3,8,0,0,42,26,1,88,28,21,2,0,1,182,42,24,63.6
421,Pedri\0d9b2d31,es ESP,MF,Barcelona,17,2002,26.8,2,0,0,23,49,0,11,35,34,1,0,0,176,7,10,41.2
422,Facundo Pellistri\ac7e7b1c,uy URU,MFFW,Alavés,18,2001,6.0,0,0,0,3,8,1,10,4,4,0,0,0,41,7,16,30.4
423,Rubén Peña\1f079188,es ESP,DFMF,Villarreal,29,1991,12.4,1,0,0,24,17,0,35,15,16,0,0,0,99,17,14,54.8
424,Pepe\6583a8a9,es ESP,DF,Granada,20,2000,2.8,0,0,0,6,1,0,0,4,4,0,1,0,28,6,4,60.0
425,Alberto Perea\5496cc91,es ESP,MF,Cádiz,29,1990,17.2,0,0,0,8,40,1,34,33,16,0,0,0,98,7,16,30.4
426,Iñigo Pérez\bc61cc65,es ESP,MFDF,Osasuna,32,1988,15.0,4,1,1,16,13,0,25,11,14,0,0,0,117,12,27,30.8
427,Juan Pérez\8f29e08b,es ESP,GK,Osasuna,24,1996,3.0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,
428,Kike Pérez\237a3851,es ESP,MF,Valladolid,23,1997,12.9,3,0,0,39,28,1,11,10,17,1,0,0,119,28,44,38.9
429,Lucas Pérez\a300ac7e,es ESP,FW,Alavés,31,1988,19.5,1,0,0,11,26,14,56,6,10,1,0,0,96,7,17,29.2
430,Luis Pérez\b7c04927,es ESP,DF,Valladolid,25,1995,14.4,1,0,0,19,16,1,36,13,23,0,1,0,129,28,17,62.2
431,Nehuén Pérez\f7c491f1,ar ARG,DF,Granada,20,2000,8.2,4,0,0,10,1,0,0,9,6,0,0,0,44,20,19,51.3
432,Pablo Piatti\48e89655,ar ARG,MFFW,Elche,31,1989,4.0,1,0,0,11,10,5,11,1,6,0,0,0,20,1,13,7.1
433,Cristiano Piccini\32c0491f,it ITA,DF,Valencia,27,1992,0.7,0,0,0,0,0,0,2,1,0,0,0,0,5,2,0,100.0
434,Tomás Pina Isla\e54bd0a2,es ESP,MF,Alavés,32,1987,28.6,12,0,0,78,31,2,5,42,32,0,0,0,268,47,44,51.6
435,Yeremi Pino\540ec57b,es ESP,FWMF,Villarreal,17,2002,8.9,4,0,0,24,22,2,11,8,13,1,1,0,34,9,17,34.6
436,Gerard Piqué\adfc9123,es ESP,DF,Barcelona,33,1987,16.5,4,0,0,13,6,2,1,15,13,0,0,0,182,66,21,75.9
437,Miralem Pjanić\ad6df2d5,ba BIH,MF,Barcelona,30,1990,7.0,1,0,0,6,12,0,1,8,5,0,0,0,73,5,5,50.0
438,Óscar Plano\7c388b20,es ESP,MFFW,Valladolid,29,1991,28.0,1,1,0,47,77,3,28,37,37,0,1,0,216,61,69,46.9
439,Dani Plomer\0d298637,es ESP,FW,Granada,21,1998,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
440,Jorge Pombo\0a8bcb23,es ESP,FWMF,Cádiz,26,1994,5.8,1,0,0,11,14,0,8,3,4,0,0,0,43,3,4,42.9
441,Pere Pons\29b61deb,es ESP,MF,Alavés,27,1993,13.2,1,0,0,21,24,1,8,11,19,0,0,0,121,12,26,31.6
442,Francisco Portillo\8e010ff4,es ESP,MFFW,Getafe,30,1990,4.6,1,0,0,4,3,0,12,5,3,0,0,0,42,1,15,6.3
443,Portu\1bda5842,es ESP,FWMF,Real Sociedad,28,1992,24.3,3,0,0,36,26,23,58,14,14,0,0,0,118,21,38,35.6
444,Sergio Postigo\474ecac8,es ESP,DF,Levante,31,1988,18.0,4,0,0,15,11,0,1,39,13,0,0,1,110,28,19,59.6
445,Darío Poveda\cbdf7d5c,es ESP,FW,Getafe,23,1997,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,66.7
