Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
17,Sat,2021-01-09,18:00 (09:00),Genoa,1.4,2–0,0.5,Bologna,,Stadio Comunale Luigi Ferraris,Daniele Doveri
17,Sat,2021-01-09,20:45 (11:45),Milan,1.6,2–0,0.6,Torino,,Stadio Giuseppe Meazza,Fabio Maresca
17,Sun,2021-01-10,12:30 (03:30),Roma,1.1,2–2,2.0,Inter,,Stadio Olimpico,Marco Di Bello
17,Sun,2021-01-10,15:00 (06:00),Udinese,2.8,1–2,1.9,Napoli,,Dacia Arena,Fabrizio Pasqua
17,Sun,2021-01-10,15:00 (06:00),Parma,0.6,0–2,3.6,Lazio,,Stadio Ennio Tardini,Luca Pairetto
17,Sun,2021-01-10,15:00 (06:00),Hellas Verona,1.1,2–1,0.7,Crotone,,Stadio Marc'Antonio Bentegodi,Luca Massimi
17,Sun,2021-01-10,18:00 (09:00),Fiorentina,2.0,1–0,1.3,Cagliari,,Stadio Artemio Franchi,Piero Giacomelli
17,Sun,2021-01-10,20:45 (11:45),Juventus,3.6,3–1,1.1,Sassuolo,,Allianz Stadium,Davide Massa
17,Mon,2021-01-11,20:45 (11:45),Spezia,1.4,2–1,1.0,Sampdoria,,Stadio Dino Manuzzi,Marco Piccinini
18,Fri,2021-01-15,20:45 (11:45),Lazio,1.0,3–0,1.3,Roma,,Stadio Olimpico,Daniele Orsato
18,Sat,2021-01-16,15:00 (06:00),Bologna,1.8,1–0,0.9,Hellas Verona,,Stadio Renato Dall'Ara,Maurizio Mariani
18,Sat,2021-01-16,18:00 (09:00),Torino,1.0,0–0,0.4,Spezia,,Stadio Olimpico di Torino,Michael Fabbri
18,Sat,2021-01-16,20:45 (11:45),Sampdoria,1.9,2–1,1.9,Udinese,,Stadio Comunale Luigi Ferraris,Juan Sacchi
18,Sun,2021-01-17,12:30 (03:30),Napoli,1.8,6–0,0.9,Fiorentina,,Stadio San Paolo,Daniele Chiffi
18,Sun,2021-01-17,15:00 (06:00),Crotone,1.4,4–1,2.4,Benevento,,Stadio Ezio Scida,Simone Sozza
18,Sun,2021-01-17,15:00 (06:00),Sassuolo,1.8,1–1,0.9,Parma,,Stadio Città del Tricolore,Ivan Pezzuto
18,Sun,2021-01-17,18:00 (09:00),Atalanta,1.8,0–0,0.8,Genoa,,Stadio Atleti Azzurri d'Italia,Livio Marinelli
18,Sun,2021-01-17,20:45 (11:45),Inter,2.0,2–0,0.5,Juventus,,Stadio Giuseppe Meazza,Daniele Doveri
18,Mon,2021-01-18,20:45 (11:45),Cagliari,1.2,0–2,2.0,Milan,,Sardegna Arena,Rosario Abisso
10,Wed,2021-01-20,15:00 (06:00),Udinese,0.3,1–1,1.4,Atalanta,,Dacia Arena,Giampaolo Calvarese
19,Fri,2021-01-22,20:45 (11:45),Benevento,1.9,2–2,1.5,Torino,,Stadio Ciro Vigorito,Piero Giacomelli
19,Sat,2021-01-23,15:00 (06:00),Roma,2.6,4–3,1.2,Spezia,,Stadio Olimpico,Luca Pairetto
19,Sat,2021-01-23,18:00 (09:00),Milan,1.6,0–3,2.4,Atalanta,,Stadio Giuseppe Meazza,Maurizio Mariani
19,Sat,2021-01-23,18:00 (09:00),Udinese,0.5,0–0,0.8,Inter,,Dacia Arena,Fabio Maresca
19,Sat,2021-01-23,20:45 (11:45),Fiorentina,1.6,2–1,0.7,Crotone,,Stadio Artemio Franchi,Marco Piccinini
19,Sun,2021-01-24,12:30 (03:30),Juventus,2.7,2–0,0.5,Bologna,,Allianz Stadium,Juan Sacchi
19,Sun,2021-01-24,15:00 (06:00),Genoa,1.9,1–0,1.1,Cagliari,,Stadio Comunale Luigi Ferraris,Marco Di Bello
19,Sun,2021-01-24,15:00 (06:00),Hellas Verona,1.7,3–1,0.9,Napoli,,Stadio Marc'Antonio Bentegodi,Michael Fabbri
19,Sun,2021-01-24,18:00 (09:00),Lazio,1.4,2–1,0.6,Sassuolo,,Stadio Olimpico,Antonio Giua
19,Sun,2021-01-24,20:45 (11:45),Parma,0.8,0–2,1.3,Sampdoria,,Stadio Ennio Tardini,Gianluca Manganiello
20,Fri,2021-01-29,20:45 (11:45),Torino,2.1,1–1,1.3,Fiorentina,,Stadio Olimpico di Torino,Marco Di Bello
20,Sat,2021-01-30,15:00 (06:00),Bologna,1.1,1–2,2.7,Milan,,Stadio Renato Dall'Ara,Daniele Doveri
20,Sat,2021-01-30,18:00 (09:00),Sampdoria,0.4,0–2,1.9,Juventus,,Stadio Comunale Luigi Ferraris,Michael Fabbri
20,Sat,2021-01-30,20:45 (11:45),Inter,1.6,4–0,0.0,Benevento,,Stadio Giuseppe Meazza,Fabrizio Pasqua
20,Sun,2021-01-31,12:30 (03:30),Spezia,0.8,0–1,1.0,Udinese,,Stadio Dino Manuzzi,Antonio Di Martino
20,Sun,2021-01-31,15:00 (06:00),Atalanta,1.2,1–3,2.9,Lazio,,Stadio Atleti Azzurri d'Italia,Daniele Chiffi
20,Sun,2021-01-31,15:00 (06:00),Crotone,0.6,0–3,1.0,Genoa,,Stadio Ezio Scida,Piero Giacomelli
20,Sun,2021-01-31,15:00 (06:00),Cagliari,0.7,1–1,1.7,Sassuolo,,Sardegna Arena,Maurizio Mariani
20,Sun,2021-01-31,18:00 (09:00),Napoli,0.7,2–0,0.2,Parma,,Stadio San Paolo,Federico La Penna
20,Sun,2021-01-31,20:45 (11:45),Roma,1.8,3–1,0.9,Hellas Verona,,Stadio Olimpico,Marco Piccinini
21,Fri,2021-02-05,20:45 (11:45),Fiorentina,0.6,0–2,2.4,Inter,,Stadio Artemio Franchi,Federico La Penna
21,Sat,2021-02-06,15:00 (06:00),Sassuolo,1.0,1–2,1.6,Spezia,,Stadio Città del Tricolore,Juan Sacchi
