Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
262,Hamed Junior Traorè\570bb4b9,ci CIV,FWMF,Sassuolo,20,2000,19.9,6,0,0,30,27,4,26,18,24,1,0,0,128,14,22,38.9
263,Musa Juwara\7737dee2,gm GAM,DF,Bologna,18,2001,0.5,1,0,0,1,3,0,2,0,0,0,0,0,5,0,0,
264,Nikola Kalinić\d4931a5a,hr CRO,FW,Hellas Verona,32,1988,11.8,2,0,0,30,36,10,2,1,1,0,0,0,31,18,58,23.7
265,Yayah Kallon\f95f49d2,sl SLE,FWMF,Genoa,19,2001,0.5,0,0,0,0,1,2,0,0,0,0,0,0,4,2,2,50.0
266,Pierre Kalulu\85f7d1be,fr FRA,DF,Milan,20,2000,8.1,1,0,0,10,3,0,12,15,13,0,1,0,79,10,18,35.7
267,Yann Karamoh\8b66d9cc,fr FRA,FWMF,Parma,22,1998,14.4,3,0,0,18,18,8,20,7,20,1,0,0,79,6,20,23.1
268,Isaac Karamoko\4c7919df,fr FRA,DF,Sassuolo,18,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
269,Augustus Kargbo\0c8f27b5,sl SLE,FW,Crotone,20,1999,0.4,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,
270,Rick Karsdorp\9f84febe,nl NED,DF,Roma,25,1995,28.3,2,0,0,40,17,3,54,33,29,0,0,0,187,15,21,41.7
271,Franck Kessié\05e19d6a,ci CIV,MF,Milan,23,1996,35.8,8,0,0,76,46,1,16,43,44,1,1,0,352,52,49,51.5
