Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,
Stade Louis II9,Sun,2020-11-29,18:00 (09:00),Mainz 05,1.4,1–1,1.0,Hoffenheim,,Opel Arena,Sascha Stegemann,
Stade Louis II10,Fri,2020-12-04,20:30 (11:30),Hertha BSC,0.7,3–1,0.3,Union Berlin,,Olympiastadion Berlin,Felix Brych,
Stade Louis II10,Sat,2020-12-05,15:30 (06:30),Köln,0.7,2–2,1.6,Wolfsburg,,RheinEnergieSTADION,Sven Jablonski,
Stade Louis II10,Sat,2020-12-05,15:30 (06:30),Eint Frankfurt,0.8,1–1,1.2,Dortmund,,Commerzbank-Arena,Guido Winkmann,
Stade Louis II10,Sat,2020-12-05,15:30 (06:30),Freiburg,3.3,2–2,1.3,M'Gladbach,,Schwarzwald-Stadion,Tobias Stieler,
Stade Louis II10,Sat,2020-12-05,15:30 (06:30),Arminia,0.8,2–1,2.0,Mainz 05,,SchücoArena,Marco Fritz,
Stade Louis II10,Sat,2020-12-05,18:30 (09:30),Bayern Munich,1.2,3–3,1.5,RB Leipzig,,Allianz Arena,Daniel Siebert,
Stade Louis II10,Sun,2020-12-06,15:30 (06:30),Werder Bremen,0.8,1–2,2.3,Stuttgart,,Weserstadion,Frank Willenborg,
Stade Louis II10,Sun,2020-12-06,18:00 (09:00),Schalke 04,1.3,0–3,2.5,Leverkusen,,Veltins-Arena,Benjamin Cortus,
Stade Louis II10,Mon,2020-12-07,20:30 (11:30),Hoffenheim,1.4,3–1,0.9,Augsburg,,PreZero Arena,Florian Badstübner,
Stade Louis II11,Fri,2020-12-11,20:30 (11:30),Wolfsburg,2.8,2–1,1.5,Eint Frankfurt,,Volkswagen Arena,Markus Schmidt,
Stade Louis II11,Sat,2020-12-12,15:30 (06:30),Dortmund,0.9,1–5,3.9,Stuttgart,,Signal Iduna Park,Christian Dingert,
Stade Louis II11,Sat,2020-12-12,15:30 (06:30),M'Gladbach,1.4,1–1,0.5,Hertha BSC,,Stadion im Borussia-Park,Robert Hartmann,
Stade Louis II11,Sat,2020-12-12,15:30 (06:30),Mainz 05,1.7,0–1,1.0,Köln,,Opel Arena,Felix Zwayer,
