Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
154,Niko Gießelmann\7242b495,de GER,DF,Union Berlin,28,1991,4.8,3,0,0,4,10,1,19,8,9,0,0,0,38,13,9,59.1
155,Rafał Gikiewicz\17376543,pl POL,GK,Augsburg,32,1987,34.0,3,0,0,0,4,0,0,0,0,0,0,0,222,0,0,
156,Daniel Ginczek\e5f63987,de GER,FWMF,Wolfsburg,29,1991,2.4,0,0,0,2,1,1,1,0,2,0,0,0,22,15,9,62.5
157,Matthias Ginter\f521b80a,de GER,DF,M'Gladbach,26,1994,34.0,2,0,0,15,37,2,16,39,18,0,0,0,338,94,58,61.8
158,Robert Glatzel\18a9efe4,de GER,FW,Mainz 05,26,1994,4.0,0,0,0,15,8,1,3,2,1,0,0,0,36,23,41,35.9
159,Serge Gnabry\88e357ef,de GER,FWMF,Bayern Munich,25,1995,18.3,4,0,0,22,24,7,47,23,23,1,0,0,114,6,20,23.1
160,Akaki Gogia\deee6467,de GER,FWMF,Union Berlin,28,1992,1.6,1,0,0,6,3,0,3,0,1,1,0,0,11,1,2,33.3
161,Nicolás González\2374aaca,ar ARG,FWDF,Stuttgart,22,1998,10.4,5,0,0,15,36,7,14,3,5,1,0,0,56,32,27,54.2
162,Leon Goretzka\cc86b9a3,de GER,MF,Bayern Munich,25,1995,18.9,2,0,0,27,21,0,8,49,28,0,0,0,235,43,21,67.2
163,Jeffrey Gouweleeuw\1025db8e,nl NED,DF,Augsburg,29,1991,31.5,9,0,0,29,9,3,4,51,32,0,0,1,323,60,64,48.4
164,Demarai Gray\4468ec10,eng ENG,FW,Leverkusen,24,1996,4.9,0,0,0,4,6,1,22,2,3,0,0,0,29,0,6,0.0
165,Michael Gregoritsch\8e235926,at AUT,FWMF,Augsburg,26,1994,9.3,1,0,0,13,16,4,13,1,10,0,0,0,53,24,37,39.3
166,Sebastian Griesbeck\a8db7ebb,de GER,MF,Union Berlin,29,1990,9.9,3,0,0,17,9,3,3,5,14,1,0,0,81,15,31,32.6
167,Vincenzo Grifo\54e4866f,it ITA,MFFW,Freiburg,27,1993,25.7,2,0,0,14,18,2,62,26,12,0,0,0,165,12,20,37.5
168,Lennart Grill\37998008,de GER,GK,Leverkusen,21,1999,4.0,0,0,0,1,0,0,0,0,0,0,0,0,24,0,0,
169,Florian Grillitsch\ffbbc83b,at AUT,MFDF,Hoffenheim,24,1995,20.9,6,1,1,34,32,0,11,47,25,1,1,0,266,32,31,50.8
170,Christian Groß\14a7af33,de GER,MFDF,Werder Bremen,31,1989,16.3,8,1,1,26,18,0,1,30,34,0,0,0,175,17,17,50.0
171,Ilia Gruev\1fc4f3d1,bg BUL,FW,Werder Bremen,20,2000,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
172,Carlos Gruezo\f2dd9a21,ec ECU,MF,Augsburg,25,1995,23.2,4,0,0,37,12,0,1,36,47,0,0,0,251,10,22,31.3
173,Mattéo Guendouzi\5ea8ef20,fr FRA,MF,Hertha BSC,21,1999,20.2,5,0,0,26,55,0,6,22,24,2,0,0,187,19,22,46.3
174,Raphaël Guerreiro\048a1cbc,pt POR,DF,Dortmund,26,1993,24.6,1,0,0,15,15,2,45,33,20,0,0,0,228,10,16,38.5
175,Josuha Guilavogui\e6c43eec,fr FRA,MFDF,Wolfsburg,29,1990,8.3,3,0,0,18,5,0,1,21,14,0,0,0,115,20,11,64.5
176,Péter Gulácsi\bcb2ccd8,hu HUN,GK,RB Leipzig,30,1990,33.0,0,0,0,0,1,0,0,0,0,0,0,0,198,0,1,0.0
177,Manuel Gulde\25ab9c9c,de GER,DF,Freiburg,29,1991,21.7,3,0,0,23,18,2,3,30,11,0,0,0,187,58,42,58.0
178,Robert Gumny\1df0c0b9,pl POL,DF,Augsburg,22,1998,15.3,4,0,0,26,19,1,23,28,13,0,0,0,119,18,26,40.9
179,Christian Günter\8593f88c,de GER,DF,Freiburg,27,1993,34.0,2,0,0,32,22,2,125,30,26,0,0,0,187,20,18,52.6
180,Erling Haaland\1f44ac21,no NOR,FW,Dortmund,20,2000,26.7,2,0,0,24,29,15,13,5,6,0,0,0,96,37,40,48.1
181,Janik Haberer\70dcf94d,de GER,MFFW,Freiburg,26,1994,5.4,0,0,0,19,7,1,5,4,7,0,2,0,68,8,24,25.0
182,Alexander Hack\a5ec3ede,de GER,DF,Mainz 05,26,1993,15.2,2,0,0,17,14,0,2,30,25,0,1,0,195,64,27,70.3
183,André Hahn\cd82452e,de GER,FWMF,Augsburg,29,1990,22.6,4,0,0,35,30,14,28,18,20,1,0,0,100,76,118,39.2
184,Amadou Haidara\92432bc6,ml MLI,MFDF,RB Leipzig,22,1998,21.2,4,0,0,30,22,5,34,30,31,1,0,0,213,41,44,48.2
185,Marcel Halstenberg\8ff2354e,de GER,DF,RB Leipzig,28,1991,18.3,2,0,0,17,12,4,29,17,24,0,0,0,210,52,25,67.5
186,Amine Harit\e7d59f4f,ma MAR,MFFW,Schalke 04,23,1997,23.3,4,0,0,32,83,7,24,23,17,2,0,0,123,6,26,18.8
187,Marcel Hartel\614eca9b,de GER,MF,Arminia,24,1996,18.7,1,0,0,5,18,5,30,16,21,0,0,0,184,16,22,42.1
188,Makoto Hasebe\9ab16552,jp JPN,DFMF,Eint Frankfurt,36,1984,25.4,5,0,0,24,34,0,4,33,39,0,0,0,309,41,34,54.7
189,Thorgan Hazard\50871bcc,be BEL,FWMF,Dortmund,27,1993,7.3,0,0,0,9,9,6,12,10,5,0,1,0,58,2,13,13.3
190,Jonas Hector\c2009df3,de GER,MF,Köln,30,1990,14.3,2,0,0,17,25,1,8,19,15,1,0,0,121,43,43,50.0
191,Hwang Hee-chan\169fd162,kr KOR,FWMF,RB Leipzig,24,1996,5.1,2,0,0,15,13,2,4,3,5,0,0,0,28,5,11,31.3
192,Dominique Heintz\699fb8db,de GER,DF,Freiburg,26,1993,15.2,3,0,0,17,4,0,6,21,16,0,0,0,148,27,16,62.8
193,Benjamin Henrichs\0a89e877,de GER,DFMF,RB Leipzig,23,1997,6.0,3,0,0,10,15,0,13,9,11,0,0,0,57,6,5,54.5
194,Lucas Hernández\c3ee18ef,fr FRA,DF,Bayern Munich,24,1996,17.7,4,0,0,20,34,0,41,20,27,1,1,0,181,49,19,72.1
195,Patrick Herrmann\dfb6490a,de GER,FW,M'Gladbach,29,1991,9.7,3,0,0,13,17,8,24,8,12,0,0,0,75,4,11,26.7
196,Martin Hinteregger\080440a4,at AUT,DF,Eint Frankfurt,27,1992,28.1,4,0,0,40,38,0,6,36,43,2,1,1,392,136,45,75.1
197,Marwin Hitz\2e7ff968,ch SUI,GK,Dortmund,32,1987,15.5,1,0,0,0,2,0,0,0,0,0,0,0,69,0,0,
198,Nicolas Höfler\5d8e331f,de GER,MF,Freiburg,30,1990,30.3,11,0,0,73,42,0,11,53,44,1,2,0,353,72,45,61.5
